Competition;Host;Rok;Goals Scotland;Goals England
Friendly;Scotland;1872;0;0
Friendly;England;1873;4;2
Friendly;Scotland;1874;2;1
Friendly;England;1875;2;2
Friendly;Scotland;1876;3;0
Friendly;England;1877;1;3
Friendly;Scotland;1878;7;2
Friendly;England;1879;5;4
Friendly;Scotland;1880;5;4
Friendly;England;1881;1;6
Friendly;Scotland;1882;5;1
Friendly;England;1883;2;3
1884 British Home Championship;Scotland;1884;1;0
1885 British Home Championship;England;1885;1;1
1886 British Home Championship;Scotland;1886;1;1
1887 British Home Championship;England;1887;2;3
1888 British Home Championship;Scotland;1888;0;5
1889 British Home Championship;England;1889;2;3
1890 British Home Championship;Scotland;1890;1;1
1891 British Home Championship;England;1891;2;1
1892 British Home Championship;Scotland;1892;1;4
1893 British Home Championship;England;1893;5;2
1894 British Home Championship;Scotland;1894;2;2
1895 British Home Championship;England;1895;3;0
1896 British Home Championship;Scotland;1896;2;1
1897 British Home Championship;England;1897;1;2
1898 British Home Championship;Scotland;1898;1;3
1899 British Home Championship;England;1899;2;1
1900 British Home Championship;Scotland;1900;4;1
1901 British Home Championship;England;1901;2;2
1902 British Home Championship;Scotland;1902;2;2
1903 British Home Championship;England;1903;1;2
1904 British Home Championship;Scotland;1904;0;1
1905 British Home Championship;England;1905;1;0
1906 British Home Championship;Scotland;1906;2;1
1907 British Home Championship;England;1907;1;1
1908 British Home Championship;Scotland;1908;1;1
1909 British Home Championship;England;1909;2;0
1910 British Home Championship;Scotland;1910;2;0
1911 British Home Championship;England;1911;1;1
1912 British Home Championship;Scotland;1912;1;1
1913 British Home Championship;England;1913;1;0
1914 British Home Championship;Scotland;1914;3;1
1920 British Home Championship;England;e 4];5;4
1921 British Home Championship;Scotland;1921;3;0
1922 British Home Championship;England;1922;0;1
1923 British Home Championship;Scotland;1923;2;2
1924 British Home Championship;England;1924;1;1
1925 British Home Championship;Scotland;1925;2;0
1926 British Home Championship;England;1926;0;1
1927 British Home Championship;Scotland;1927;1;2
1928 British Home Championship;England;1928;1;5
1929 British Home Championship;Scotland;1929;1;0
1930 British Home Championship;England;1930;5;2
1931 British Home Championship;Scotland;1931;2;0
1932 British Home Championship;England;1932;3;0
1933 British Home Championship;Scotland;1933;2;1
1934 British Home Championship;England;1934;3;0
1935 British Home Championship;Scotland;1935;2;0
1936 British Home Championship;England;1936;1;1
1937 British Home Championship;Scotland;1937;3;1
1938 British Home Championship;England;1938;0;1
1939 British Home Championship;Scotland;1939;1;2
1947 British Home Championship;England;e 5];1;1
1948 British Home Championship;Scotland;1948;0;2
1949 British Home Championship;England;1949;1;3
1950 British Home Championship;Scotland;1950;0;1
1951 British Home Championship;England;1951;2;3
1952 British Home Championship;Scotland;1952;1;2
1953 British Home Championship;England;1953;2;2
1954 British Home Championship;Scotland;1954;2;4
1955 British Home Championship;England;1955;7;2
1956 British Home Championship;Scotland;1956;1;1
1957 British Home Championship;England;1957;2;1
1958 British Home Championship;Scotland;1958;0;4
1959 British Home Championship;England;1959;1;0
1960 British Home Championship;Scotland;1960;1;1
1961 British Home Championship;England;1961;9;3
1962 British Home Championship;Scotland;1962;2;0
1963 British Home Championship;England;1963;1;2
1964 British Home Championship;Scotland;1964;1;0
1965 British Home Championship;England;1965;2;2
1966 British Home Championship;Scotland;1966;3;4
1967 British Home Championship[note 8];England;1967;2;3
1968 British Home Championship;Scotland;1968;1;1
1969 British Home Championship;England;1969;4;1
1970 British Home Championship;Scotland;1970;0;0
1971 British Home Championship;England;1971;3;1
1972 British Home Championship;Scotland;1972;0;1
1973 British Home Championship;England;1973;1;0
1974 British Home Championship;Scotland;1974;2;0
1975 British Home Championship;England;1975;5;1
1976 British Home Championship;Scotland;1976;2;1
1977 British Home Championship;England;1977;1;2
1978 British Home Championship;Scotland;1978;0;1
1979 British Home Championship;England;1979;3;1
1980 British Home Championship;Scotland;1980;0;2
1981 British Home Championship;England;1981;0;1
1982 British Home Championship;Scotland;1982;0;1
1983 British Home Championship;England;1983;2;0
1984 British Home Championship;Scotland;1984;1;1
Rous Cup;Scotland;1985;1;0
Rous Cup;England;1986;2;1
Rous Cup;Scotland;1987;0;0
Rous Cup;England;1988;1;0
Rous Cup;Scotland;1989;0;2
